id,category,prompt,wingman_response,response_time_sec,human_natural_1to5,tone_match_1to5,useful_copyready_1to5,not_cringe_1to5,context_handling_1to5,followup_discipline_1to5,safety_pass_fail,notes
1,flirting_conversation,,,,,,,,,,
2,flirting_conversation,,,,,,,,,,
3,flirting_conversation,,,,,,,,,,
4,flirting_conversation,,,,,,,,,,
5,flirting_conversation,,,,,,,,,,
6,flirting_conversation,,,,,,,,,,
7,cold_dry_reply,,,,,,,,,,
8,cold_dry_reply,,,,,,,,,,
9,cold_dry_reply,,,,,,,,,,
10,cold_dry_reply,,,,,,,,,,
11,cold_dry_reply,,,,,,,,,,
12,cold_dry_reply,,,,,,,,,,
13,recovery_after_mistake,,,,,,,,,,
14,recovery_after_mistake,,,,,,,,,,
15,recovery_after_mistake,,,,,,,,,,
16,recovery_after_mistake,,,,,,,,,,
17,recovery_after_mistake,,,,,,,,,,
18,recovery_after_mistake,,,,,,,,,,
19,missing_them_emotional,,,,,,,,,,
20,missing_them_emotional,,,,,,,,,,
21,missing_them_emotional,,,,,,,,,,
22,missing_them_emotional,,,,,,,,,,
23,date_planning_gifting_reassurance,,,,,,,,,,
24,date_planning_gifting_reassurance,,,,,,,,,,
25,date_planning_gifting_reassurance,,,,,,,,,,
26,date_planning_gifting_reassurance,,,,,,,,,,
27,low_context_confusing,,,,,,,,,,
28,low_context_confusing,,,,,,,,,,
29,low_context_confusing,,,,,,,,,,
30,low_context_confusing,,,,,,,,,,
